Tabla 1: Información de Paradas,Columna1,Columna2,Columna3,
ID_Parada,Latitud,Longitud,Nombre_Parada,
1,40.7128,-74.006,Parada A,
2,40.7145,-73.9981,Parada B,
,,,,
Tabla 2: Horarios de Servicio,Columna1,Columna2,Columna3,Columna4
ID_Ruta,ID_Parada,Hora_Inicio,Hora_Fin,Dia
101,1,06:00,23:00,L-V
101,1,07:00,22:00,S-D
,,,,
,,,,
Tabla 3: Frecuencia de Servicios,Columna1,Columna2,Columna3,
ID_Ruta,Intervalo_Horas_Pico,Intervalo_Horas_No_Pico,,
101,10 min,20 min,,
102,15 min,25 min,,
,,,,
,,,,
Tabla 4: Datos de Pasajeros,Columna1,Columna2,Columna3,
ID_Ruta,ID_Parada,Hora_Del_Dia,Pasajeros,
101,1,08:00,120,
101,2,08:00,95,
,,,,
,,,,
Tabla 5: Duración y Distancia de Viaje,Columna1,Columna2,Columna3,Columna4
ID_Ruta,ID_Parada_Origen,ID_Parada_Destino,Duración_Promedio,Distancia_km
101,1,2,15 min,2.5
101,2,3,12 min,2
,,,,
,,,,
Tabla 6: Datos de Vehículos,Columna1,Columna2,Columna3,
ID_Vehiculo,Tipo,Capacidad,Eficiencia_Energética,
A1,Bus,50,Alta,
A2,Bus,60,Media,
,,,,
,,,,
Tabla 7: Eventos Especiales,Columna1,Columna2,Columna3,
ID_Evento,Fecha,Descripción,Impacto_Ruta,
E1,01/11/2023,Concierto en Parque X,Alta,
E2,25/12/2023,Desfile Navideño,Media,
,,,,
,,,,
Tabla 8: Datos Meteorológicos,Columna1,Columna2,Columna3,
Fecha,Condiciones_Climáticas,Temperatura,Precipitaciones,
01/10/2023,Soleado,24°C,0%,
02/10/2023,Lluvioso,18°C,80%,
,,,,
,,,,
Tabla 9: Indicadores de Desempeño,Columna1,Columna2,Columna3,
ID_Ruta,Puntualidad,Satisfacción_Usuario,Incidencias,
101,95%,4.5,2,
102,90%,4,5,
